Price,Close,High,Low,Open,Volume
2024-02-18,52122.546875,52356.96484375,51233.70703125,51661.96875,17595377311
2024-02-19,51779.14453125,52483.32421875,51711.8203125,52134.8125,21362184346
2024-02-20,52284.875,52945.05078125,50792.3125,51777.7265625,33353758256
2024-02-21,51839.1796875,52368.81640625,50671.7578125,52273.53515625,28624907020
2024-02-22,51304.97265625,52009.61328125,50926.29296875,51854.64453125,25413900611
2024-02-23,50731.94921875,51497.93359375,50561.77734375,51283.90625,21427078270
2024-02-24,51571.1015625,51684.1953125,50585.4453125,50736.37109375,15174077879
2024-02-25,51733.23828125,51950.02734375,51306.171875,51565.21484375,15413239245
2024-02-26,54522.40234375,54938.17578125,50931.03125,51730.5390625,34074411896
2024-02-27,57085.37109375,57537.83984375,54484.19921875,54519.36328125,49756832031
2024-02-28,62504.7890625,63913.1328125,56738.42578125,57071.09765625,83239156760
2024-02-29,61198.3828125,63585.64453125,60498.73046875,62499.18359375,65496611844
2024-03-01,62440.6328125,63155.1015625,60802.52734375,61168.0625,40186368423
2024-03-02,62029.84765625,62458.69921875,61657.2890625,62431.65234375,23888473685
2024-03-03,63167.37109375,63230.2109375,61435.0234375,62031.578125,26253811450
2024-03-04,68330.4140625,68537.03125,62386.51953125,63137.00390625,70670471105
2024-03-05,63801.19921875,69170.625,59323.91015625,68341.0546875,102802940877
2024-03-06,66106.8046875,67637.9296875,62848.671875,63776.05078125,68750229073
2024-03-07,66925.484375,68029.921875,65655.53125,66099.7421875,46989543159
2024-03-08,68300.09375,70083.0546875,66230.453125,66938.09375,59202881172
2024-03-09,68498.8828125,68673.0546875,68053.125,68299.2578125,21609650379
2024-03-10,69019.7890625,70005.203125,68239.9765625,68500.2578125,35683977532
2024-03-11,72123.90625,72850.7109375,67194.8828125,69020.546875,65716656765
2024-03-12,71481.2890625,72825.65625,68728.8515625,72125.125,62554434520
2024-03-13,73083.5,73637.4765625,71334.09375,71482.1171875,48212536929
2024-03-14,71396.59375,73750.0703125,68563.0234375,73079.375,59594605698
2024-03-15,69403.7734375,72357.1328125,65630.6953125,71387.875,78320453976
2024-03-16,65315.1171875,70046.2734375,64801.39453125,69392.484375,46842198371
2024-03-17,68390.625,68845.71875,64545.31640625,65316.34375,44716864318
2024-03-18,67548.59375,68897.1328125,66594.2265625,68371.3046875,49261579492
